model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
claude-4-opus-thinking_(thinking),Anthropic,High-Sophistication,51,4.855294117647061,6.68607843137255,3.2221568627450985,2.8560784313725485,2.411372549019607,2.9213725490196074,1.3462745098039215,7.046078431372547,6.268627450980389,6.657352941176468
claude-4-opus,Anthropic,High-Sophistication,51,4.542745098039215,6.640588235294117,2.666470588235294,3.502941176470589,2.9939215686274503,3.7649019607843126,1.7190196078431372,7.280784313725489,6.496666666666667,6.888725490196078
llama-3.1-70b,Meta,Low-Sophistication,51,4.314117647058823,8.261960784313725,3.012941176470588,2.3327450980392155,1.6988235294117644,4.137058823529413,1.2941176470588236,5.660588235294116,4.32,4.990294117647059
claude-4.1-opus,Anthropic,High-Sophistication,51,4.071764705882353,6.594901960784314,2.6533333333333333,4.516078431372549,3.7315686274509794,4.182941176470586,1.9013725490196078,7.6147058823529425,7.170196078431372,7.392450980392157
qwen3-32b,Alibaba,High-Sophistication,51,3.6105882352941183,7.702745098039215,2.4184313725490196,4.154117647058825,2.944117647058824,4.536078431372549,1.7254901960784315,7.01607843137255,6.280980392156862,6.648529411764706
claude-4.5-haiku-thinking_(thinking),Anthropic,High-Sophistication,51,5.182549019607844,6.078039215686274,4.313529411764706,4.810784313725488,4.333529411764706,3.9076470588235286,1.3784313725490194,8.143529411764707,8.260980392156862,8.202254901960785
claude-3.5-sonnet-v2,Anthropic,Low-Sophistication,51,4.7509803921568645,7.44470588235294,3.633725490196079,1.8492156862745095,1.5937254901960782,2.5284313725490195,1.1370588235294117,6.307058823529413,5.15764705882353,5.7323529411764715
claude-3-opus,Anthropic,Low-Sophistication,51,5.794117647058824,8.53607843137255,8.457254901960786,1.5945098039215686,1.2999999999999996,2.0752941176470587,1.0196078431372548,4.891568627450982,4.483725490196077,4.687647058823529
mixtral-8x7b,Mistral,Low-Sophistication,51,5.084705882352942,8.070784313725488,4.339019607843138,1.3396078431372547,1.35156862745098,2.2809803921568625,1.1568627450980393,5.359607843137256,3.8035294117647074,4.581568627450982
o3,OpenAI,High-Sophistication,51,4.300196078431372,7.705490196078429,2.594313725490196,2.3327450980392155,2.15,3.3460784313725505,1.532156862745098,7.737843137254903,6.412156862745099,7.075000000000001
mistral-large-24.02,Mistral,Low-Sophistication,51,5.314313725490194,8.03862745098039,4.659607843137256,1.2672549019607842,1.3774509803921564,2.0398039215686277,1.0196078431372548,5.49,3.9149019607843143,4.7024509803921575
gpt-4.1,OpenAI,High-Sophistication,51,4.025882352941178,7.6731372549019605,2.549019607843137,3.359215686274509,2.065294117647059,4.019803921568627,1.4570588235294115,6.790392156862744,5.555490196078429,6.172941176470586
gemini-3-pro-preview,Google,High-Sophistication,51,3.1825490196078436,7.647450980392158,2.1115686274509806,4.54235294117647,3.794509803921568,5.425490196078429,2.4570588235294117,7.712352941176469,7.11705882352941,7.41470588235294
claude-3-sonnet,Anthropic,Low-Sophistication,51,4.287843137254903,8.235490196078432,4.039019607843137,2.215686274509804,1.7641176470588231,3.275294117647058,1.1437254901960785,5.698823529411766,4.34,5.0194117647058825
claude-3.7-sonnet,Anthropic,Low-Sophistication,51,4.849215686274511,7.811176470588236,3.7839215686274508,1.8431372549019607,1.6792156862745098,2.235686274509804,1.1633333333333333,6.48313725490196,5.000000000000001,5.741568627450981
claude-3-haiku,Anthropic,Low-Sophistication,51,5.463725490196078,8.47078431372549,6.143921568627448,1.41078431372549,1.2209803921568623,2.483921568627451,1.0588235294117647,4.849607843137256,3.960784313725491,4.4051960784313735
gpt-5.2_pro,OpenAI,High-Sophistication,51,4.95372549019608,6.712352941176469,2.791372549019608,2.235098039215686,2.1305882352941174,2.4315686274509805,1.3692156862745097,8.006666666666668,6.927843137254901,7.467254901960784
claude-4-sonnet-thinking_(thinking),Anthropic,High-Sophistication,51,5.364509803921571,7.183725490196077,4.176666666666667,2.9990196078431377,2.1892156862745096,2.6013725490196076,1.2090196078431372,7.209215686274508,6.522941176470589,6.866078431372548
