model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
nova-lite,AWS,Low-Sophistication,36,5.222222222222223,6.842500000000001,4.267500000000001,1.2122222222222219,1.2763888888888884,1.4249999999999998,1.1480555555555556,3.9719444444444445,3.204166666666667,3.588055555555556
claude-4.5-sonnet-thinking_(thinking),Anthropic,High-Sophistication,36,6.185277777777777,6.425833333333333,4.435000000000001,1.323333333333333,1.535833333333333,1.5452777777777775,1.1199999999999999,6.824166666666667,5.713055555555556,6.268611111111111
gpt-3.5_turbo,OpenAI,Low-Sophistication,36,4.870277777777781,5.851944444444444,3.3233333333333333,1.1566666666666665,1.2574999999999994,1.2769444444444442,1.0091666666666665,3.666111111111111,3.3061111111111114,3.486111111111111
gpt-5.1,OpenAI,High-Sophistication,36,6.462500000000001,6.732222222222222,4.17611111111111,1.305,1.4627777777777777,1.7405555555555554,1.1202777777777777,7.546111111111113,6.286666666666667,6.91638888888889
gpt-5.2,OpenAI,High-Sophistication,36,6.268611111111109,6.620833333333333,3.9905555555555554,1.3230555555555554,1.406944444444444,1.8247222222222221,1.073888888888889,7.621388888888887,6.370555555555556,6.995972222222221
gemini-2.0-flash,Google,Low-Sophistication,36,5.71277777777778,6.722777777777777,4.185555555555555,1.2399999999999998,1.2763888888888884,1.5172222222222218,1.0602777777777779,4.638611111111111,3.639166666666667,4.138888888888889
llama-4-maverick-17b,Meta,Low-Sophistication,36,5.166111111111111,7.278611111111112,4.638055555555557,1.1561111111111106,1.2116666666666662,1.4811111111111108,1.0647222222222221,4.471944444444445,3.3052777777777775,3.8886111111111115
gemini-2.5-pro,Google,High-Sophistication,36,6.68527777777778,7.314444444444446,4.212777777777777,1.2311111111111108,1.2949999999999997,1.6849999999999998,1.1575,6.795277777777779,5.379444444444445,6.087361111111112
claude-4.1-opus-thinking_(thinking),Anthropic,High-Sophistication,36,6.0183333333333335,6.990000000000002,4.324166666666666,1.1475,1.489722222222222,1.5919444444444444,1.0277777777777777,6.555277777777777,5.073888888888889,5.814583333333333
claude-4.5-opus-global,Anthropic,Low-Sophistication,36,4.749722222222221,5.472222222222223,3.4166666666666665,1.3416666666666663,1.4813888888888889,1.6477777777777776,1.0283333333333335,5.157777777777778,4.693611111111112,4.925694444444445
gpt-oss-120b,OpenAI,High-Sophistication,36,6.277222222222223,7.64777777777778,4.268888888888889,1.1566666666666663,1.266666666666666,1.6669444444444446,1.0927777777777778,6.379999999999999,4.7313888888888895,5.555694444444445
claude-4-opus-thinking_(thinking),Anthropic,High-Sophistication,35,6.199714285714288,6.95285714285714,4.371428571428572,1.2465714285714284,1.398285714285714,1.561142857142857,1.0759999999999998,6.523142857142857,5.161428571428572,5.8422857142857145
claude-4-opus,Anthropic,High-Sophistication,36,5.971666666666668,6.611111111111112,4.426666666666666,1.1758333333333333,1.369722222222222,1.527222222222222,1.0369444444444444,6.148333333333331,4.676111111111111,5.412222222222221
llama-3.1-70b,Meta,Low-Sophistication,36,5.610000000000003,6.453333333333335,4.148055555555555,1.1752777777777776,1.166111111111111,1.4524999999999997,1.1388888888888888,4.1019444444444435,3.2591666666666668,3.6805555555555554
claude-4.1-opus,Anthropic,High-Sophistication,36,6.25888888888889,6.861388888888888,4.611111111111111,1.212222222222222,1.4616666666666662,1.5177777777777774,1.0552777777777775,6.7411111111111115,5.2225,5.981805555555556
qwen3-32b,Alibaba,Low-Sophistication,36,6.370000000000001,7.268055555555557,4.555833333333333,1.1291666666666664,1.266666666666666,1.6300000000000003,1.0647222222222221,5.518055555555556,4.222499999999998,4.870277777777777
claude-4.5-haiku-thinking_(thinking),Anthropic,High-Sophistication,36,6.027777777777777,6.109722222222223,4.175277777777777,2.1386111111111115,2.408055555555556,2.018888888888889,1.323888888888889,7.611666666666666,6.9725,7.292083333333333
claude-3.5-sonnet-v2,Anthropic,Low-Sophistication,19,5.40421052631579,7.296842105263157,5.422105263157896,1.0868421052631578,1.3847368421052628,1.4531578947368418,1.0173684210526315,5.280526315789474,3.9468421052631584,4.613684210526316
claude-3-opus,Anthropic,Low-Sophistication,36,6.120277777777779,6.786111111111111,4.416388888888888,1.1288888888888886,1.2491666666666665,1.5274999999999999,1.0091666666666665,5.120555555555555,3.9352777777777783,4.527916666666666
mixtral-8x7b,Mistral,Low-Sophistication,36,5.35138888888889,6.778055555555556,4.388333333333333,1.2674999999999998,1.3594444444444438,1.6191666666666662,1.0925,4.120555555555556,3.342777777777778,3.731666666666667
o3,OpenAI,High-Sophistication,36,5.850555555555558,7.600833333333335,4.1113888888888885,1.166111111111111,1.3041666666666663,1.666111111111111,1.0833333333333333,6.593055555555557,4.9352777777777765,5.764166666666666
mistral-large-24.02,Mistral,Low-Sophistication,36,5.675555555555557,6.981944444444445,4.518333333333332,1.1838888888888885,1.2763888888888884,1.5174999999999996,1.0833333333333333,4.148888888888888,3.2602777777777785,3.7045833333333333
gpt-4.1,OpenAI,Low-Sophistication,36,5.916944444444444,6.934722222222223,5.100833333333336,1.1105555555555555,1.3133333333333328,1.470555555555555,1.0091666666666665,4.5088888888888885,3.5091666666666668,4.009027777777778
gemini-3-pro-preview,Google,High-Sophistication,36,5.5280555555555555,7.3611111111111125,4.397777777777779,1.2683333333333333,1.3880555555555552,1.564444444444444,1.0555555555555556,6.1013888888888905,4.657777777777778,5.3795833333333345
claude-3-sonnet,Anthropic,Low-Sophistication,35,5.752285714285714,7.198857142857143,4.980857142857146,1.228,1.4362857142857135,1.5994285714285712,1.0188571428571427,5.047999999999999,3.8100000000000005,4.429
claude-3.7-sonnet,Anthropic,High-Sophistication,36,6.26861111111111,7.287222222222222,4.971666666666667,1.1013888888888888,1.2949999999999997,1.6202777777777775,1.1111111111111112,6.101388888888888,4.786944444444444,5.444166666666666
claude-3-haiku,Anthropic,Low-Sophistication,36,6.092222222222222,7.074166666666667,5.083055555555556,1.1477777777777778,1.2947222222222219,1.6377777777777776,1.1016666666666666,4.685555555555556,3.6199999999999997,4.152777777777778
gpt-5.2_pro,OpenAI,High-Sophistication,36,6.1575,6.564444444444445,4.064722222222221,1.2858333333333332,1.4388888888888887,1.7677777777777777,1.1202777777777777,7.723055555555557,6.4174999999999995,7.070277777777778
claude-4-sonnet-thinking_(thinking),Anthropic,High-Sophistication,36,6.129999999999999,6.787222222222223,4.444444444444443,1.258333333333333,1.4063888888888885,1.535833333333333,1.0552777777777778,6.4622222222222225,5.102499999999998,5.78236111111111
