model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
gpt-4,OpenAI,Low-Sophistication,35,6.324,7.324857142857143,5.247142857142857,1.1422857142857141,1.2362857142857138,1.7428571428571427,1.0665714285714285,4.951428571428572,3.7997142857142854,4.375571428571429
llama-4-scout-17b,Meta,Low-Sophistication,35,6.476285714285711,7.219142857142858,5.038571428571428,1.171142857142857,1.2934285714285707,1.6279999999999997,1.0188571428571427,5.124285714285714,4.10342857142857,4.613857142857142
llama-3.2-90b,Meta,Low-Sophistication,35,6.542571428571428,7.372,5.38057142857143,1.1137142857142857,1.284285714285714,1.6285714285714283,1.0665714285714285,5.114285714285715,3.742571428571429,4.428428571428572
claude-4.5-opus-global-thinking_(thinking),Anthropic,High-Sophistication,35,6.304857142857141,6.133714285714286,4.562285714285713,1.333142857142857,1.6568571428571428,1.6757142857142857,1.0665714285714285,7.228,6.409714285714285,6.8188571428571425
nova-premier,AWS,Low-Sophistication,35,6.066857142857143,7.019142857142858,4.790285714285714,1.1039999999999999,1.3408571428571425,1.475428571428571,1.0474285714285714,4.372285714285714,3.514857142857143,3.9435714285714285
nova-lite,AWS,Low-Sophistication,35,6.591142857142856,7.5617142857142845,5.065999999999999,1.0945714285714285,1.2648571428571422,1.647428571428571,1.0759999999999998,4.675999999999999,3.5997142857142856,4.1378571428571425
claude-4.5-sonnet-thinking_(thinking),Anthropic,High-Sophistication,35,6.5040000000000004,5.914857142857143,4.713428571428572,1.3325714285714283,1.6374285714285712,1.7228571428571424,1.1525714285714286,6.828571428571429,6.162285714285712,6.495428571428571
gpt-3.5_turbo,OpenAI,Low-Sophistication,35,6.371428571428571,6.885142857142857,4.152000000000001,1.2182857142857142,1.321714285714285,1.4948571428571427,1.1522857142857141,4.190571428571428,3.485142857142857,3.8378571428571426
gpt-5.1,OpenAI,High-Sophistication,35,6.504285714285714,6.428857142857144,4.162571428571428,1.275142857142857,1.3705714285714283,1.7431428571428573,1.1620000000000001,7.619142857142857,6.467428571428572,7.043285714285714
gpt-5.2,OpenAI,High-Sophistication,35,6.257142857142855,6.371714285714286,4.257142857142858,1.2562857142857142,1.4094285714285715,1.8757142857142854,1.0188571428571427,7.571142857142855,6.467142857142856,7.019142857142856
gemini-2.0-flash,Google,High-Sophistication,35,6.399714285714285,6.752,4.895428571428571,1.170285714285714,1.2279999999999998,1.5905714285714285,1.0191428571428571,5.943142857142856,4.734571428571427,5.338857142857142
llama-4-maverick-17b,Meta,Low-Sophistication,35,5.791142857142857,7.457714285714285,5.285142857142857,1.1137142857142854,1.208285714285714,1.580571428571428,1.0,4.895999999999999,3.648,4.271999999999999
gemini-2.5-pro,Google,High-Sophistication,35,6.684571428571429,7.105142857142858,4.714,1.189428571428571,1.2185714285714286,1.6851428571428568,1.0477142857142858,6.837999999999999,5.58057142857143,6.2092857142857145
claude-4.1-opus-thinking_(thinking),Anthropic,High-Sophistication,35,6.628571428571428,6.313714285714287,4.742571428571429,1.2845714285714283,1.5797142857142854,1.6948571428571426,1.1428571428571428,6.8,5.705428571428571,6.252714285714285
claude-4.5-opus-global,Anthropic,High-Sophistication,35,6.4842857142857175,6.105142857142857,4.818571428571429,1.3799999999999997,1.7805714285714285,1.7617142857142853,1.124,7.228857142857143,6.504571428571429,6.866714285714286
gpt-oss-120b,OpenAI,High-Sophistication,35,6.218285714285713,7.552285714285715,4.457142857142858,1.0851428571428567,1.2088571428571424,1.705142857142857,1.038,6.724,5.2957142857142845,6.009857142857142
claude-4-opus-thinking_(thinking),Anthropic,High-Sophistication,35,6.704571428571429,6.33342857142857,4.513428571428571,1.2757142857142856,1.465428571428571,1.579428571428571,1.0762857142857143,6.466000000000002,5.371142857142857,5.918571428571429
claude-4-opus,Anthropic,High-Sophistication,35,6.770857142857144,6.533142857142857,4.438000000000001,1.2468571428571427,1.5508571428571425,1.5994285714285712,1.133142857142857,6.5625714285714265,5.494857142857144,6.028714285714285
llama-3.1-70b,Meta,Low-Sophistication,35,6.904571428571429,7.286,5.286285714285714,1.1328571428571428,1.2459999999999996,1.6945714285714282,1.0094285714285713,5.066285714285714,3.751714285714285,4.408999999999999
claude-4.1-opus,Anthropic,High-Sophistication,35,6.694571428571431,6.609999999999999,4.771428571428571,1.1902857142857142,1.485142857142857,1.560571428571428,1.0665714285714285,6.837999999999998,5.7142857142857135,6.276142857142856
qwen3-32b,Alibaba,Low-Sophistication,35,6.647714285714287,6.581428571428571,4.980857142857142,1.085142857142857,1.2177142857142853,1.5034285714285707,1.0285714285714285,5.390857142857143,4.4005714285714275,4.895714285714285
claude-4.5-haiku-thinking_(thinking),Anthropic,High-Sophistication,35,6.3042857142857125,5.943142857142858,5.047142857142855,1.4091428571428573,1.8571428571428572,1.7231428571428569,1.0568571428571427,7.362857142857142,6.724000000000002,7.0434285714285725
claude-3.5-sonnet-v2,Anthropic,Low-Sophistication,35,7.04742857142857,6.780857142857143,5.018857142857143,1.1137142857142857,1.2845714285714285,1.5991428571428568,1.0,5.419714285714286,4.533428571428573,4.976571428571429
claude-3-opus,Anthropic,Low-Sophistication,35,6.45742857142857,6.971999999999999,4.657142857142858,1.1328571428571426,1.275142857142857,1.5708571428571427,1.086,5.0762857142857145,4.034000000000001,4.555142857142858
mixtral-8x7b,Mistral,Low-Sophistication,35,6.438285714285714,7.580857142857146,4.895714285714287,1.1428571428571428,1.3134285714285712,1.743142857142857,1.0854285714285712,4.934,3.742857142857143,4.3384285714285715
o3,OpenAI,High-Sophistication,35,6.0851428571428565,7.304857142857142,4.276,1.1419999999999997,1.2282857142857142,1.713428571428571,1.0188571428571427,6.800285714285713,5.380285714285715,6.090285714285714
mistral-large-24.02,Mistral,Low-Sophistication,35,6.104000000000002,7.494285714285716,5.342857142857142,1.1708571428571428,1.2559999999999996,1.6279999999999994,1.0951428571428572,4.686571428571429,3.5905714285714287,4.138571428571429
gpt-4.1,OpenAI,Low-Sophistication,35,6.513428571428575,6.828857142857143,5.038857142857142,1.1134285714285712,1.2362857142857138,1.542285714285714,1.0,5.0182857142857165,4.028285714285714,4.523285714285715
gemini-3-pro-preview,Google,High-Sophistication,35,5.724571428571427,7.514571428571428,4.685142857142859,1.1517142857142855,1.3131428571428567,1.6674285714285717,1.0571428571428572,6.885714285714285,5.209714285714285,6.047714285714285
claude-3-sonnet,Anthropic,Low-Sophistication,35,6.667142857142856,7.399714285714286,5.371714285714285,1.1808571428571428,1.3411428571428565,1.8197142857142858,1.1142857142857143,5.228571428571429,4.123428571428572,4.676
claude-3.7-sonnet,Anthropic,Low-Sophistication,35,6.381142857142857,7.152571428571428,5.429142857142856,1.1042857142857143,1.3319999999999996,1.6951428571428568,1.0,5.600285714285715,4.409714285714286,5.005000000000001
claude-3-haiku,Anthropic,Low-Sophistication,35,6.495714285714286,7.552571428571429,5.209714285714286,1.1522857142857141,1.3028571428571423,1.7434285714285718,1.0571428571428572,4.609714285714286,3.609714285714286,4.109714285714286
gpt-5.2_pro,OpenAI,High-Sophistication,35,6.199714285714286,6.600857142857141,4.142857142857143,1.227428571428571,1.4565714285714282,1.858571428571429,1.038,7.743714285714287,6.50542857142857,7.1245714285714286
claude-4-sonnet-thinking_(thinking),Anthropic,High-Sophistication,35,6.9142857142857155,6.352571428571428,4.7511428571428596,1.2094285714285713,1.5514285714285712,1.6177142857142852,1.0568571428571427,6.590857142857142,5.676285714285713,6.133571428571427
