model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
us-anthropic-claude-3-opus-20240229-v1_0,Anthropic,High-Sophistication,44,5.5839,7.553,4.0382,1.1434,1.1882,1.5152,1.0,5.28,3.757,4.5185
meta-llama3-70b-instruct-v1_0,Meta,High-Sophistication,44,2.1216,3.4691,2.2043,1.1882,1.0986,1.4468,0.9555,2.7261,2.2509,2.4885
us-meta-llama4-maverick-17b-instruct-v1_0,Meta,High-Sophistication,44,5.8557,7.5602,4.6286,1.2039,1.2639,1.7277,1.0152,5.7798,4.1895,4.98465
us-meta-llama3-2-90b-instruct-v1_0,Meta,High-Sophistication,44,6.2268,7.507,4.3414,1.2123,1.2641,1.7584,1.0075,5.8557,4.2655,5.0606
gemini-2-5-pro,Google,Unknown,44,7.1893,6.6439,3.3105,1.3857,1.5902,2.0989,1.2043,8.0609,6.902,7.481450000000001
us-meta-llama3-3-70b-instruct-v1_0,Meta,High-Sophistication,44,6.2118,7.5452,4.3411,1.1666,1.2484,1.7277,1.0375,5.8109,4.3339,5.0724
us-anthropic-claude-3-5-sonnet-20240620-v1_0,Anthropic,High-Sophistication,44,5.6059,7.5684,4.2425,1.2345,1.3011,1.6895,1.0075,5.5377,4.0,4.7688500000000005
global-anthropic-claude-opus-4-5-20251101-v1_0,Anthropic,High-Sophistication,88,6.2349,6.0422,4.7689,1.5523,1.7649,1.7569,1.0794,7.1101,6.2424,6.67625
us-anthropic-claude-sonnet-4-20250514-v1_0,Anthropic,High-Sophistication,88,6.3445,6.7086,3.9012,1.337,1.6009,1.7191,1.0757,6.6367,5.3411,5.9889
mistral-mixtral-8x7b-instruct-v0_1,Mistral,High-Sophistication,44,5.9241,7.8105,4.6657,1.1207,1.2707,1.6443,1.0,5.3786,3.7655,4.57205
gpt-4-1,OpenAI,Low-Sophistication,44,6.5752,6.8257,4.0986,1.1434,1.3475,1.6661,1.0682,6.0605,4.8943,5.4774
gpt-5-2-pro,OpenAI,High-Sophistication,44,6.1289,6.4016,3.6361,1.2945,1.56,1.8261,1.0909,7.9548,6.6284,7.2916
us-anthropic-claude-opus-4-20250514-v1_0,Anthropic,High-Sophistication,88,6.3787,6.3898,3.8257,1.3289,1.5627,1.7275,1.0568,6.368,5.2047,5.7863500000000005
us-amazon-nova-premier-v1_0,AWS,High-Sophistication,44,6.0148,7.8184,4.2959,1.0757,1.2632,1.6368,1.0,5.7659,4.1507,4.9582999999999995
qwen-qwen3-32b-v1_0,Alibaba,High-Sophistication,44,7.0605,6.9405,3.9009,1.2945,1.4009,2.1225,1.1439,6.992,5.6143,6.3031500000000005
mistral-mistral-large-2402-v1_0,Mistral,High-Sophistication,44,6.1595,7.6139,4.7114,1.1282,1.2486,1.6966,1.0075,5.3411,3.8186,4.57985
gpt-5-2,OpenAI,High-Sophistication,44,6.1668,6.3639,3.53,1.4007,1.5977,1.8264,1.0984,7.7582,6.5977,7.17795
us-anthropic-claude-haiku-4-5-20251001-v1_0,Anthropic,High-Sophistication,88,6.1511,5.9661,4.2198,1.5259,1.7462,1.674,1.053,7.0838,6.3715,6.727650000000001
us-anthropic-claude-3-sonnet-20240229-v1_0,Anthropic,High-Sophistication,44,5.8859,7.128,4.5602,1.1739,1.3395,1.5827,1.015,5.6436,4.2043,4.92395
o3,OpenAI,High-Sophistication,44,5.9623,7.1286,3.5677,1.2491,1.5148,1.7807,1.1286,7.8189,6.4623,7.1406
gemini-2-0-flash,Google,High-Sophistication,44,6.2118,6.9391,4.3327,1.4611,1.4689,1.8041,1.1436,6.9693,5.3939,6.1815999999999995
gemini-3-pro-preview,Google,High-Sophistication,44,6.0298,6.4845,2.8027,1.8552,2.4157,2.2045,1.4998,7.9395,6.932,7.4357500000000005
us-amazon-nova-pro-v1_0,AWS,High-Sophistication,44,5.9461,7.9243,4.0305,1.0984,1.2786,1.6827,1.0227,6.1973,4.4161,5.3067
us-anthropic-claude-sonnet-4-5-20250929-v1_0,Anthropic,High-Sophistication,88,6.0759,5.9886,3.727,1.5565,1.8841,1.7386,1.1402,7.0233,6.1099,6.566599999999999
