model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
gpt-4,OpenAI,Low-Sophistication,12,24.888333333333335,39.0,25.361666666666668,4.474166666666667,3.9191666666666674,5.665833333333333,3.6675000000000004,28.5825,18.721666666666675,23.652083333333337
llama-4-scout-17b,Meta,Low-Sophistication,12,30.333333333333332,40.0,23.555833333333336,3.9166666666666665,3.6125000000000003,6.805,3.1950000000000003,33.19416666666667,21.1675,27.180833333333332
llama-3.2-90b,Meta,Low-Sophistication,12,30.164999999999996,40.61166666666667,23.80583333333333,3.8891666666666667,3.9450000000000003,6.861666666666667,3.2216666666666662,30.609999999999996,20.75,25.68
claude-4.5-opus-global-thinking_(thinking),Anthropic,High-Sophistication,12,33.08416666666667,31.195000000000004,28.914999999999996,5.0,7.666666666666667,7.528333333333333,3.556666666666667,38.19583333333334,32.973333333333336,35.58458333333334
nova-premier,AWS,Low-Sophistication,12,28.835000000000004,41.19416666666667,26.195000000000004,3.8333333333333335,3.8900000000000006,6.945833333333334,3.3633333333333337,31.639166666666668,19.36,25.499583333333334
nova-lite,AWS,Low-Sophistication,12,28.69416666666667,42.666666666666664,23.6125,3.695833333333334,3.3625000000000003,6.610833333333333,2.888333333333333,33.44416666666667,20.0825,26.763333333333335
claude-4.5-sonnet-thinking_(thinking),Anthropic,High-Sophistication,12,32.777499999999996,31.278333333333336,21.47333333333334,6.305833333333333,6.945,7.9725,4.278333333333333,36.527499999999996,29.165833333333328,32.846666666666664
gpt-3.5_turbo,OpenAI,Low-Sophistication,12,27.63916666666667,38.11166666666667,25.444999999999997,4.890000000000001,4.3625,6.471666666666667,4.28,22.389166666666668,16.778333333333332,19.583750000000002
gpt-5.1,OpenAI,High-Sophistication,12,31.417500000000004,35.36166666666667,21.000833333333333,5.11,5.109999999999999,8.0,3.3874999999999993,41.416666666666664,32.472500000000004,36.944583333333334
gpt-5.2,OpenAI,High-Sophistication,12,30.39,35.25,20.55666666666667,5.526666666666666,7.0275,8.694166666666666,3.75,42.222500000000004,33.555,37.88875
gemini-2.0-flash,Google,High-Sophistication,12,35.41583333333333,38.332499999999996,25.167500000000004,4.305000000000001,4.138333333333334,7.5,3.193333333333333,38.473333333333336,27.444999999999997,32.95916666666667
llama-4-maverick-17b,Meta,Low-Sophistication,12,28.389166666666668,40.083333333333336,25.194166666666664,4.055833333333333,3.6683333333333334,6.8325,3.2225,30.30583333333333,20.1675,25.236666666666665
gemini-2.5-pro,Google,High-Sophistication,12,37.86,35.862500000000004,18.0825,5.276666666666666,6.055,10.695,4.7225,41.4175,33.60999999999999,37.513749999999995
claude-4.1-opus-thinking_(thinking),Anthropic,Low-Sophistication,12,32.16666666666667,32.88916666666667,21.69416666666666,4.4725,5.584166666666667,7.3325,4.028333333333333,34.16583333333333,25.331666666666663,29.748749999999998
claude-4.5-opus-global,Anthropic,High-Sophistication,12,32.19416666666667,30.999166666666664,26.777500000000003,6.195833333333334,8.445833333333335,8.5825,4.9174999999999995,37.722500000000004,31.528333333333336,34.625416666666666
gpt-oss-120b,OpenAI,High-Sophistication,12,30.69416666666667,40.806666666666665,19.804999999999996,3.9166666666666665,4.335,8.610833333333334,3.6133333333333337,41.50083333333334,30.7775,36.13916666666667
claude-4-opus-thinking_(thinking),Anthropic,Low-Sophistication,12,33.94416666666667,32.695,20.94333333333333,4.0025,4.335,6.720833333333334,3.808333333333334,33.05666666666667,25.138333333333332,29.097500000000004
claude-4-opus,Anthropic,Low-Sophistication,12,34.028333333333336,33.44416666666667,21.694999999999997,4.223333333333334,5.361666666666667,7.25,3.89,34.11166666666667,25.360833333333332,29.736250000000002
llama-3.1-70b,Meta,Low-Sophistication,12,31.444166666666664,39.00083333333334,24.971666666666664,4.0008333333333335,3.946666666666667,7.610833333333333,3.4441666666666664,31.694166666666664,20.63833333333333,26.166249999999998
claude-4.1-opus,Anthropic,High-Sophistication,12,33.14000000000001,33.165,21.610833333333332,4.333333333333333,4.9725,7.7225,3.473333333333333,34.945,26.05583333333334,30.50041666666667
qwen3-32b,Alibaba,High-Sophistication,12,36.666666666666664,34.05583333333333,20.333333333333332,4.0275,4.2491666666666665,8.499166666666666,3.25,37.25000000000001,28.721666666666668,32.98583333333334
claude-4.5-haiku-thinking_(thinking),Anthropic,High-Sophistication,12,28.584999999999997,31.083333333333332,21.75,6.276666666666666,7.610833333333333,8.166666666666666,3.9725,38.25,32.778333333333336,35.51416666666667
claude-3.5-sonnet-v2,Anthropic,Low-Sophistication,12,33.611666666666665,34.63833333333333,26.610833333333332,3.752500000000001,4.029166666666667,7.416666666666667,3.335000000000001,27.499166666666664,22.054999999999996,24.77708333333333
claude-3-opus,Anthropic,Low-Sophistication,12,26.80666666666667,38.777499999999996,23.5825,4.305833333333333,4.584166666666667,6.5566666666666675,3.7225,27.055833333333336,17.915000000000003,22.48541666666667
mixtral-8x7b,Mistral,Low-Sophistication,12,27.526666666666667,40.25,25.249166666666664,4.028333333333333,4.028333333333333,6.666666666666667,3.8350000000000004,27.249166666666667,17.778333333333336,22.51375
o3,OpenAI,High-Sophistication,12,29.1375,39.166666666666664,19.638333333333335,4.694166666666667,5.7508333333333335,7.415833333333334,3.8916666666666675,42.14083333333334,32.50000000000001,37.320416666666674
mistral-large-24.02,Mistral,Low-Sophistication,12,28.528333333333336,39.19583333333333,25.1375,3.723333333333334,3.8891666666666667,6.165833333333333,3.1666666666666665,26.667500000000004,16.91583333333333,21.791666666666668
gpt-4.1,OpenAI,High-Sophistication,12,37.667500000000004,35.69333333333333,22.139166666666668,3.8599999999999994,3.5558333333333336,7.414166666666666,2.970833333333333,35.80583333333333,26.44333333333333,31.124583333333334
gemini-3-pro-preview,Google,High-Sophistication,12,29.5,34.915,16.14,8.805833333333334,9.526666666666666,11.555833333333334,4.610833333333333,41.833333333333336,33.66583333333333,37.749583333333334
claude-3-sonnet,Anthropic,Low-Sophistication,12,24.945000000000004,37.276666666666664,22.833333333333332,4.165833333333333,4.4175,5.7775,3.751666666666667,30.609999999999996,19.0825,24.846249999999998
claude-3.7-sonnet,Anthropic,Low-Sophistication,12,29.610833333333332,37.13916666666667,24.526666666666667,4.279166666666667,4.279166666666668,6.3066666666666675,3.6408333333333336,30.25,20.916666666666668,25.583333333333336
claude-3-haiku,Anthropic,Low-Sophistication,12,25.554999999999996,37.61166666666667,25.139166666666668,4.335833333333334,4.195833333333334,6.779166666666668,3.6683333333333343,28.0275,18.3475,23.1875
gpt-5.2_pro,OpenAI,High-Sophistication,12,29.778333333333336,34.61083333333333,20.25,5.055833333333333,6.140000000000001,7.778333333333333,3.4183333333333334,41.80583333333333,32.63833333333333,37.22208333333333
claude-4-sonnet-thinking_(thinking),Anthropic,Low-Sophistication,12,32.55583333333333,33.972500000000004,23.7775,5.195833333333334,4.723333333333334,7.720833333333332,4.639166666666666,34.19416666666667,25.5,29.847083333333334
