model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
claude-4.1-opus-thinking_(thinking),Anthropic,Low-Sophistication,50,6.026199999999999,6.179200000000001,3.7533999999999996,1.2855999999999994,1.3559999999999999,1.7540000000000004,1.0664,6.833800000000001,5.306799999999999,6.0703
claude-4.5-opus-global,Anthropic,High-Sophistication,50,6.7926,5.7324,4.9264,1.3653999999999997,1.6595999999999997,1.7938000000000003,1.0864,7.7396,6.833599999999999,7.2866
gpt-oss-120b,OpenAI,High-Sophistication,50,6.242600000000002,7.774000000000001,3.6003999999999996,1.2417999999999993,1.2591999999999997,2.1270000000000002,1.1525999999999998,8.4164,6.610000000000001,7.5132
claude-4-opus-thinking_(thinking),Anthropic,Low-Sophistication,50,6.553399999999999,6.487400000000001,3.8468000000000004,1.2323999999999997,1.3857999999999995,1.74,1.1802000000000001,7.040200000000002,5.507,6.273600000000001
claude-4-opus,Anthropic,Low-Sophistication,50,6.492799999999999,6.493200000000001,3.880999999999999,1.2125999999999997,1.3755999999999995,1.8004000000000002,1.1196,6.8938,5.3034,6.098599999999999
llama-3.1-70b,Meta,Low-Sophistication,50,6.9262,7.3801999999999985,4.4464,1.1319999999999997,1.1795999999999998,1.7950000000000008,1.0732,6.473599999999999,4.6134,5.5435
claude-4.1-opus,Anthropic,High-Sophistication,50,6.6328000000000005,6.1464000000000025,3.919999999999998,1.3055999999999996,1.3658,1.8132,1.1665999999999999,7.133399999999998,5.853399999999999,6.4933999999999985
llama-3-70b,Meta,Unknown,20,1.8329999999999997,3.3994999999999997,2.0005,1.0989999999999998,1.0325000000000002,1.35,0.8510000000000002,2.684,2.2325,2.45825
qwen3-32b,Alibaba,High-Sophistication,50,7.6662,6.760400000000001,3.7941999999999982,1.1721999999999995,1.2259999999999998,2.0274000000000005,1.1865999999999999,7.639600000000001,6.026199999999999,6.8329
claude-4.5-haiku-thinking_(thinking),Anthropic,High-Sophistication,50,5.86,6.007000000000001,4.0194,1.5796,1.6738000000000002,1.8336,1.1665999999999999,7.779799999999999,6.506200000000002,7.143000000000001
claude-3.5-sonnet-v2,Anthropic,Low-Sophistication,50,6.853,6.6402,5.0064,1.1325999999999998,1.1853999999999996,1.9474000000000005,1.0332,5.499799999999999,4.473000000000002,4.9864
claude-3-opus,Anthropic,Low-Sophistication,50,5.346400000000001,7.553399999999998,4.4799999999999995,1.1063999999999998,1.2323999999999997,1.6542000000000003,1.0732,5.579400000000001,3.706800000000001,4.6431000000000004
mixtral-8x7b,Mistral,Low-Sophistication,50,5.9392000000000005,7.646200000000001,4.6792,1.1259999999999997,1.2317999999999996,1.6202,1.0802,5.5996000000000015,3.7202,4.6599
o3,OpenAI,High-Sophistication,50,5.566600000000001,7.400199999999999,3.5674000000000006,1.2781999999999993,1.3787999999999996,1.9265999999999999,1.213,8.3534,6.612800000000002,7.483100000000001
mistral-large-24.02,Mistral,Low-Sophistication,50,6.359799999999999,7.676400000000002,4.752999999999999,1.0659999999999998,1.1587999999999996,1.6812000000000007,1.06,5.7265999999999995,3.9066,4.816599999999999
gpt-4.1,OpenAI,High-Sophistication,50,7.3932,6.8536,4.106600000000001,1.1591999999999996,1.1793999999999998,1.7742000000000004,1.0866,7.1206000000000005,5.639200000000001,6.379900000000001
gemini-3-pro-preview,Google,High-Sophistication,50,6.225800000000003,6.6802,3.3199999999999994,1.6183999999999992,1.926,2.2540000000000004,1.6536000000000002,8.36,7.106600000000001,7.7333
claude-3-sonnet,Anthropic,Low-Sophistication,50,5.353599999999999,7.359200000000002,4.6068,1.1327999999999998,1.2519999999999996,1.6338000000000001,1.0932000000000002,5.840200000000002,3.9864000000000006,4.913300000000001
claude-3.7-sonnet,Anthropic,Low-Sophistication,50,6.040200000000001,7.099599999999999,4.333200000000001,1.1523999999999996,1.3257999999999996,1.7676000000000003,1.0868,6.159999999999999,4.5196000000000005,5.3398
claude-3-haiku,Anthropic,Low-Sophistication,50,5.579200000000001,7.2791999999999994,4.6394,1.1857999999999997,1.2589999999999997,1.7206000000000004,1.12,5.627399999999999,3.8731999999999998,4.750299999999999
gpt-5.2_pro,OpenAI,High-Sophistication,50,5.949200000000001,6.673799999999999,3.5565999999999987,1.4351999999999996,1.4795999999999998,2.04,1.2397999999999998,8.4466,7.0598,7.7532
claude-4-sonnet-thinking_(thinking),Anthropic,Low-Sophistication,50,6.732800000000001,6.506599999999999,4.046600000000001,1.1855999999999995,1.3521999999999996,1.8864,1.133,6.9204,5.619800000000001,6.2701
