Rank,Provider,Model,Score,Size,Context,Cost_Input,Cost_Output,License
62,Anthropic,Claude Haiku 4.5,0.730,,200K,$1.00,$5.00,
61,Alibaba Cloud / Qwen Team,Qwen3 VL 32B Thinking,0.731,33B,,,,
59,DeepSeek,DeepSeek R1 Zero,0.733,671B,,,,
59,OpenAI,o1-preview,0.733,,128K,$15.00,$60.00,
58,Baidu,ERNIE 4.5,0.740,21B,128K,$0.40,$4.00,
56,OpenAI,GPT OSS 20B High,0.742,21B,131K,$0.10,$0.50,
56,Google,Gemini 2.0 Flash Thinking,0.742,,,,
55,Alibaba Cloud / Qwen Team,Qwen3 VL 30B A3B Thinking,0.744,31B,262K,$0.20,$1.00,
54,DeepSeek,DeepSeek-V3.1,0.749,671B,164K,$0.27,$1.00,
52,NVIDIA,Nemotron 3 Nano (30B A3B),0.750,32B,262K,$0.06,$0.24,
52,Zhipu AI,GLM-4.5-Air,0.750,106B,,,,
50,Moonshot AI,Kimi K2-Instruct-0905,0.751,1.0T,,,,
50,Moonshot AI,Kimi K2 Instruct,0.751,1.0T,200K,$0.50,$0.50,
49,Anthropic,Claude Sonnet 4,0.754,,200K,$3.00,$15.00,
48,Moonshot AI,Kimi K2 0905,0.758,1.0T,262K,$0.60,$2.50,
47,NVIDIA,Llama 3.1 Nemotron Ultra 253B v1,0.760,253B,,,,
45,OpenAI,o3-mini,0.772,,200K,$1.10,$4.40,
45,Alibaba Cloud / Qwen Team,Qwen3-Next-80B-A3B-Thinking,0.772,80B,66K,$0.15,$1.50,
44,Alibaba Cloud / Qwen Team,Qwen3-235B-A22B-Instruct-2507,0.775,235B,262K,$0.15,$0.80,
42,MiniMax,MiniMax M2,0.780,230B,1.0M,$0.30,$1.20,
42,OpenAI,o1,0.780,,200K,$15.00,$60.00,
41,OpenAI,o1-pro,0.790,,,,
40,Zhipu AI,GLM-4.5,0.791,355B,131K,$0.40,$1.60,
39,Anthropic,Claude Opus 4,0.796,,200K,$15.00,$75.00,
38,DeepSeek,DeepSeek-V3.2-Exp,0.799,685B,164K,$0.27,$0.41,
37,OpenAI,GPT OSS 120B,0.801,117B,131K,$0.09,$0.45,
35,Anthropic,Claude Opus 4.1,0.809,,200K,$15.00,$75.00,
35,OpenAI,GPT OSS 120B High,0.809,117B,131K,$0.10,$0.50,
32,MiniMax,MiniMax M2.1,0.810,,1.0M,$0.30,$1.20,
32,DeepSeek,DeepSeek-R1-0528,0.810,671B,131K,$0.50,$2.15,
32,Zhipu AI,GLM-4.6,0.810,357B,131K,$0.55,$2.19,
31,Alibaba Cloud / Qwen Team,Qwen3-235B-A22B-Thinking-2507,0.811,235B,262K,$0.30,$3.00,
30,OpenAI,o4-mini,0.814,,200K,$1.10,$4.40,
29,OpenAI,GPT-5 mini,0.823,,400K,$0.25,$2.00,
28,DeepSeek,DeepSeek-V3.2 (Thinking),0.824,685B,131K,$0.28,$0.42,
27,Google,Gemini 2.5 Flash,0.828,,1.0M,$0.30,$2.50,
26,Google,Gemini 2.5 Pro,0.830,,1.0M,$1.25,$10.00,
25,OpenAI,o3,0.833,,200K,$2.00,$8.00,
24,Anthropic,Claude Sonnet 4.5,0.834,,200K,$3.00,$15.00,
23,Xiaomi,MiMo-V2-Flash,0.837,309B,256K,$0.10,$0.30,
21,xAI,Grok-3 Mini,0.840,,128K,$0.30,$0.50,
21,OpenAI,ChatGPT-4o Latest,0.840,,128K,$2.50,$10.00,
20,Moonshot AI,Kimi K2-Thinking-0905,0.845,1.0T,262K,$0.47,$2.00,
19,xAI,Grok-3,0.846,,128K,$3.00,$15.00,
18,Anthropic,Claude 3.7 Sonnet,0.848,,200K,$3.00,$15.00,
15,xAI,Grok 4 Fast,0.857,,2.0M,$0.20,$0.50,
15,Zhipu AI,GLM-4.7,0.857,358B,205K,$0.60,$2.20,
15,OpenAI,GPT-5,0.857,,400K,$1.25,$10.00,
14,Google,Gemini 2.5 Pro Preview 06-05,0.864,,1.0M,$1.25,$10.00,
13,Anthropic,Claude Opus 4.5,0.870,,200K,$5.00,$25.00,
12,OpenAI,GPT-5 High,0.873,,400K,$1.25,$10.00,
11,xAI,Grok-4,0.875,,256K,$3.00,$15.00,
6,OpenAI,GPT-5 Medium,0.881,,400K,$1.25,$10.00,
6,OpenAI,GPT-5.1 Thinking,0.881,,400K,$1.25,$10.00,
6,OpenAI,GPT-5.1 Instant,0.881,,400K,$1.25,$10.00,
6,OpenAI,GPT-5.1 High,0.881,,400K,$1.25,$10.00,
6,OpenAI,GPT-5.1,0.881,,400K,$1.25,$10.00,
5,xAI,Grok-4 Heavy,0.884,,,,
4,Google,Gemini 3 Flash,0.904,,1.0M,$0.50,$3.00,
3,Google,Gemini 3 Pro,0.919,,1.0M,$2.00,$12.00,
2,OpenAI,GPT-5.2,0.924,,400K,$1.75,$14.00,
1,OpenAI,GPT-5.2 Pro,0.932,,400K,$21.00,$168.00,
